id,identifier,name,type_id,damage_class_id,damage,energy,accuracy,summary,description,target,category
456,heal-order,Heal Order,12,3,,-1,,Restores 50% of the user's health.,"The user summons up a cloud of drone insects that surround it in a whirling curtain, sacrificing themselves to add their energy to the user's lifeforce. This attack restores up to 50% of the user's health, but at the cost of a considerable amount of energy.",Self,Healing (direct)
457,head-smash,Head Smash,13,1,15,9,80,Deals recoil damage to the user equal to half the damage dealt.,"The user bounds towards the opponent and brings its rocky head slamming down upon them, knocking them to the ground in a pained daze. Despite any natural armor on the user's head, the sheer force of the blow is enough to cause it considerable pain and it takes double the normal amount of recoil from the use of this attack.",Single,Contact
458,double-hit,Double Hit,1,1,7,4,90,Deals damage.  No other effect.,"The user lands one, then another solid smack on its opponent, attacking twice in one action.",Single,Contact
459,roar-of-time,Roar of Time,15,2,15,9,90,Requires an action to recharge.  Can be used in one action for 3% extra energy.,"The user lets out a mind-bending scream that makes time itself waver, assaulting the opponent with a torrent of emotions and images as past, future and present fluctuate uncontrollably around it and the ancient power of dragons, brought up from the depths of time, pummels its body mercilessly. This attack requires considerable energy and concentration to perform.",Single,Projectile
460,spacial-rend,Spacial Rend,15,2,10,5,95,Has a critical hit rate one stage higher than normal.,"The user tears a hole in the very fabric of reality, unleashing pure chaos upon the opponent. There is little defense against the destructive power of this attack, increasing the chance for a critical hit.",Single,Projectile/Critical
461,lunar-dance,Lunar Dance,11,3,,-1,,Knocks the user out and fully heals its replacement's health and energy.,"The user throws everything it has into a wild dance, spinning off the remainder of its health and energy to hang as a glittering mist in the air. The user then faints and, when the next pokémon is sent out into the shimmering mist, its health and energy are completely restored.",Self,Special
462,crush-grip,Crush Grip,1,1,-1,-1,100,Base damage and energy cost start at 12%/6% and fall proportional to the target's remaining HP.,"The user seizes the opponent in a very tight hold. The more health the target has left and, consequently, the greater their struggles, the more the user tightens its hold, resulting in more damage to healthier foes.",Single,Contact
463,magma-storm,Magma Storm,2,2,12,7,75,Traps the target and deals 2% damage after each action for 2-5 actions.,"The user creates a seismic catastrophe, splitting open the earth to unleash a swirling blitz of magma, noxious gases, and fragments of rock upon the opponent. The initial damage dealt by this attack is great, but it lingers on for several actions after its use, trapping the target in a swirling curtain of fire and dealing them 2% damage per action until the attack ends or they manage to escape.",Single,Projectile
464,dark-void,Dark Void,16,3,,3,80,Puts each target to sleep.,"The user opens a gateway to the world of darkness, drowning the foes in nightmarish power and sending them rapidly into a deep, uneasy sleep.",Multiple,Status (sleep)
465,seed-flare,Seed Flare,4,2,12,8,85,Has a 40% chance to lower the target's Special Defense by two stages.,"The user pumps out a wave of pure grass-type energy that washes over the ground around it, awakening any seeds that may be lying dormant and causing existing vegetation to undergo a period of frenzied growth. The target is damaged not only by the energy blast itself but also the wild growth that accompanies it as plants force their way out of the ground all around, lashing it with thorny limbs and questing branches. This attack has the potential to slightly lower the target's special defense as the energy wave sears into their body.",Single,Projectile/Stat modifier (special defense)
466,ominous-wind,Ominous Wind,14,2,6,3,100,Has a 10% chance to raise all stats (except Evasion and Accuracy) by one stage.,"The user summons an eerie wind that blows through the arena, carrying with it the power of angry and vengeful spirits. Although these spirits attack the opponent mercilessly, they are friendly towards the user and may grant it some of their power, possibly resulting in a slight increase to all stats.",Single,Projectile/Stat modifier (all)
467,shadow-force,Shadow Force,14,1,12,7,100,"Vanishes, dodging most moves, then hits.  Costs 3% extra energy to do both in one action.","The user vanishes into the ghost plane, becoming totally immune to attacks for one action as it gathers ghastly power. It then returns and slams into the opponent with a massive charge of ghost energy, ripping apart any defenses the target may have constructed. This attack cannot be blocked by detect or protect.",Single,Contact/Special
468,hone-claws,Hone Claws,16,3,,2,,Raises the user's Attack and Accuracy by one stage.,"The user sharpens is claws or blades, not only making them capable of dealing more damage but also making them more precise instruments, thus raising both the user's accuracy and attack stats.",Self,Stat modifier (attack and accuracy)
469,wide-guard,Wide Guard,13,3,,-1,,Protects the user and its allies against moves that hit multiple targets this action.,"The user raises low wall of rocks between its allies and its foes. This will protect both the user and all its allies from attacks that strike multiple targets, but while they can crouch behind the wall to defend themselves from widespread attacks, a more focused assault can easily be aimed over it.",All allies,Special/Priority 3
470,guard-split,Guard Split,11,3,,3,,Averages the user and target's Defense and Special Defense stages.,"The user balances its mental state against that of a single target, evening out their caution and guardedness. This causes the defense and special defense boosts of the user and its target to be averaged.",Single,Special
471,power-split,Power Split,11,3,,-1,,Averages the user and target's Attack and Special Attack stages.,"The user balances its mental state against that of a single target, evening out their aggression and cunning. This causes the attack and special attack boosts of the user and its target to be averaged.",Single,Special
472,wonder-room,Wonder Room,11,3,,4,,Swaps all Pokémon's Defense and Special Defense stages for five actions.,"The user wrenches the dimensions of the arena out of alignment, altering reality within its boundaries for the next five actions. Within the weirding influence of the wonder room, mental walls become physical armor and a pokémon's outer defenses are turned inward to protect their psyches--defense and special defense boosts are swapped for as long as the wonder room remains in play. The effects of wonder room may be cancelled early if another pokémon uses the attack, negating the previous use of the move.",All,Special/Priority -7
473,psyshock,Psyshock,11,2,8,4,100,Inflicts damage based on Special Attack and physical Defense.,"The user unleashes a psychokinetic blast that picks the target up and hurls it bodily away. Although still powered by special attack, this attack's damage is calculated based on the target's defense rather than its special defense.",Single,Projectile/Special
474,venoshock,Venoshock,8,2,6,3,100,Does 13% base damage if the target is poisoned.,"The user spews a torrent of foul liquid at its target. If that target already has poison circulating in its system, the chemicals in the venoshock react violently with the existing contamination, causing intense pain and effectively doubling the base power of the attack.",Single,Projectile/Special
475,autotomize,Autotomize,17,3,,2,,Raises the user's Speed by one stage and halves its weight.  Works once per Pokémon per battle.,"The user painlessly sheds a part of an anatomy--a tail or other limb, or a non-critical part of its armor--to reduce its weight and increase its mobility. This gratly raises speed and cuts the user's weight in half. However, it may only be used once per battle.",Self,Special/Stat modifier (speed)
476,rage-powder,Rage Powder,12,3,,3,,Redirects opponents' single-target moves to the user this action.,The user coats itself in a dusting of rage-inducing spores that so afflict its opponents that they will ignore their orders and turn any single-target attacks that would have hit one of the user's allies on the user instead. The spores slough off after one action.,Self,Special/Priority 3
477,telekinesis,Telekinesis,11,3,,4,,"Raises the target in the air for three actions, giving all moves 100% accuracy against it.","The user extends its telekinetic powers to lift the target into the air, leaving it helplessly suspended and unable to get out of the way of opponents' attacks. For the next three actions, all attacks have 100% accuracy against this attack's target. However, while under the effects of this attack the target will also be immune to ground-type attacks as though it had the levitate ability.",Single,Special
478,magic-room,Magic Room,11,3,,4,,Nullifies held items for five actions.,"The user distorts reality within the confines of the arena, imbuing the air with an ambient psychic aura that acts to disable all non-biological forms of technology for five actions. For as long as this attack's effects are in play, all pokémon's held items will be disabled. This move may be cancelled early by another pokémon using magic room before the five actions are up.",All,Special/Priority -7
479,smack-down,Smack Down,13,1,5,3,100,Knocks the target to the ground.,"The user selects a large rock and hurls it with precise accuracy, knocking its target out of the sky and crushing it to the ground. This attack grounds pokémon that are hovering, flying, bouncing, preparing a sky drop, or inherently immune to ground-type attacks for any reason. In the case of fly, bounce, and sky drop, this attack brings the target back to earth immediately. In all other cases, it permanently removes the target's immunity to ground-type attacks.",Single,Projectile/Special
480,storm-throw,Storm Throw,7,1,6,3,100,Always scores a critical hit.,"The user strikes its opponent with a vicious, precision-directed blow that is sure to find one of the opponent's weak points. This attack always scores a critical hit.",Single,Contact/Special
481,flame-burst,Flame Burst,2,2,7,4,100,Deals 3% damage to any Pokémon within two meters of the target.,"The user lobs a concentrated ball of flame at an opponent, which explodes on contact. Any pokémon within two meters of the target--typically any allies--take 3% typeless damage as a result of the resulting shockwave and flying debris.",Single,Projectile/Special
482,sludge-wave,Sludge Wave,8,2,9,5,100,Has a 10% chance to poison the target.,"The user unleashes a huge wave of poisonous goop over the arena, drowning foes and allies alike. There is a 10% chance that any pokémon hit by this attack will become poisoned.",All,Projectile/Status (poison)
483,quiver-dance,Quiver Dance,12,3,,3,,"Raises the user's Special Attack, Special Defense, and Speed by one stage.","The user performs an intricate dance that calls on the power of the hive mind to lend it strength. Upon completion of the dance, the user's special attack, special defense, and speed will all have risen.",Single,"Stat modifier (special attack, special defense, speed)"
484,heavy-slam,Heavy Slam,17,1,-1,-1,100,Base damage and energy cost vary based on the user and target's weights.,"The user hurls itself atop the opponent, crushing it beneath the weight of its armor. The heavier the user is relative to its opponent, the more damage the attack deals, according to the following chart: Up to 2× the target's weight: 40 power; Up to 3× the target's weight: 60 power; Up to 4× the target's weight: 80 power; Up to 5× the target's weight: 100 power; More than 5× the target's weight: 120 power.",Single,Contact/Special
485,synchronoise,Synchronoise,11,2,12,7,100,Hits all other Pokémon in battle that share a type with the user.,"The user projects a wash of psychic interference tuned to its particular elemental affinity in all directions, causing painful headaches for all other pokémon that share its type but leaving those without the same affinity unscathed.",All,Projectile/Special
486,electro-ball,Electro Ball,5,2,-1,-1,100,Base damage varies based on the user's Speed compared to the target's Speed.,"The user hurls a crackling sphere of ball lightning at its opponent. Faster foes can typically dodge the worst of the attack, so this move's damage is based on the user's ability to outspeed its opponent, according to the following table: Up to 2× the target's speed: 60; Up to 3× the target's speed: 80; Up to 4× the target's speed: 120; More than 4× the target's speed: 150.",Single,Projectile/Special
487,soak,Soak,3,3,,3,100,Changes the target's type to Water.,The user drenches its opponent with a torrent of pure water energy that washes away its native typing and changes it to water.,Single,Special
488,flame-charge,Flame Charge,2,1,5,4,100,Has a 100% chance to raise the user's Speed by one stage.,"The user races at the opponent, working up to its top speed and wreathing its body in flames before charging straight into its foe. Afterwards, the pokémon is left nicely limbered up, which effectively raises its speed.",Single,Contact/Stat modifier (speed)
489,coil,Coil,8,3,,3,,"Raises the user's Attack, Defense, and Accuracy by one stage.","The user coils in on itself into a defensive position that not only allows it to turn its body in order to track its foe's every move, but also leaves it poised to strike, thus raising its defense, attack, and accuracy.",Self,"Stat modifier (attack, defense, accuracy)"
490,low-sweep,Low Sweep,7,1,6,4,100,Has a 100% chance to lower the target's Speed by one stage.,"The user lashes out at its opponent's legs or underbelly, scoring a blow that leaves its target hobbling or ginger with pain. This effectively lowers the stricken pokémon's speed.",Single,Contact/Stat modifier (speed)
491,acid-spray,Acid Spray,8,2,4,3,100,Has a 100% chance to lower the target's Special Defense by two stages.,"The user sprays its target with a jet of incredibly powerful acid. Although not powerful enough to melt through a pokémon's skin, it causes painful, itchy inflammation that constantly distracts the afflicted pokémon, causing it to lower its mental defenses and so greatly reducing its special defense.",Single,Projectile/Stat modifier (special defense)
492,foul-play,Foul Play,16,1,9,5,100,Does damage using the target's Attack stat.,"The user provokes its opponent to attack, then skillfully dodges and trips them up. The more vicious the target's attack, the harder they fall, and as a result this attack's damage is calculated using the attack stat of the target rather than the user.",Single,Contact/Special
493,simple-beam,Simple Beam,1,3,,3,100,Changes the target's ability to Simple.,"The user fires a powerful beam of normal energy at its target, eliminating some of its unique attributes but leaving it all the more intensely invested in the battle with all distractions stripped away. This attack eliminates all of a pokémon's inherent abilities and grants it the ability ""simple"" in their place.",Single,Special
494,entrainment,Entrainment,1,3,,3,100,Copies the user's ability onto the target.,"The user tangles its fate up with that of its target, subsuming the other pokémon's ability with its own. All of the target's inherent abilities are nullified and replaced with whatever inherent abilities the user has.",Single,Special
495,after-you,After You,1,3,,1,,Makes the target move next if it has not already moved this action.,"The user graciously does everything it can to facilitate the target's next attack, ensuring that it moves next regardless of speed or attack priority. Much though the target might wish for the user to just leave it alone and stop trying to help, it really can't do anything to avoid it.",Single,Special
496,round,Round,1,2,6,3,100,Deals 12% base damage if used by multiple Pokémon in one action.,"The user sings a commanding, reverberating song that inspires friends and lays foes low. If one pokémon begins singing a round, all other pokémon that have been commanded to do so in the same action will immediately join in, regardless of normal speed priority. If at least one other pokémon joins the round, the increase in volume serves to double the power of the attack for all users. After the round has ended, the rest of the turn proceeds according to normal speed priority.",Multiple,Projectile/Special
497,echoed-voice,Echoed Voice,1,2,4,2,100,"Base damage doubles with each use by any friendly Pokémon, up to 20%, but resets if a full action goes by without use.","The pokémon bellows a powerful yell at an opponent. If an ally repeats this attack before the echoes of the previous one die away, the power of the two attacks combines, effectively doubling the base power of the move over the last time an ally used it up to a maximum base power of 200. The doubling takes place so long as an ally used this attack either earlier in this action or during the last action.",Single,Projectile/Special
498,chip-away,Chip Away,1,1,7,4,100,Ignores the target's stat modifiers.,The user patiently wears its foe down with a series of carefully-calculated blows that will eventually overwhelm any defense. This attack ignores all of the target's stat modifiers.,Single,Contact/Special
499,clear-smog,Clear Smog,8,2,5,3,,Removes the target's stat modifiers.,"The user envelops its target in a cloud of whitish-gray smog that causes minor irritation and also mildly befuddles the target, causing it to forget both its woes and successes and effectively eliminating all of its stat changes. Once touched by even a small tendril of smog a pokémon will fall into a temporary confused stupor, making it very hard for pokémon to dodge this attack.",Single,Projectile/Stat modifier (all)
500,stored-power,Stored Power,11,2,2,1,100,Base damage rises by 2% for each of the user's positive stat stages.,"The user draws on all the power that has gone into buffing it up for battle and uses it to fuel a mighty psychic attack. This attack's base power is 20 plus 20 more for each level any of the user's stats have been raised, to a maximum of +6 in all stats (a total of 30 levels, for a base power of 620).",Single,Projectile
501,quick-guard,Quick Guard,7,3,,-1,,Protects the user and its allies against priority moves this action.,"The user extends a thin bubble of fighting energy over itself and its allies, providing a defense against any swiftly-executed attacks that come later. Although it will rebound fast-moving attacks, slower, more deliberate and constant attacks will break through it. This attack protects all allies from all high-priority attacks for the duration of the action.",All allies,Special/Priority (3)
502,ally-switch,Ally Switch,11,3,,1,,Switches places with an ally.,"The user reaches out and latches onto the mind of one of its allies, pinpointing them no matter where they are, and performs a quick two-way matter transferrance to switch places with them.",Single,Special/Priority (1)
503,scald,Scald,3,2,8,5,100,Has a 30% chance to burn the target.,The user blasts the target with a stream of water that has been heated to near-boiling. There is a 30% chance that this attack will leave a burn in its wake.,Single,Special/Status (burn)
504,shell-smash,Shell Smash,1,3,,6,,"Raises the user's Attack, Special Attack, and Speed by two stages, and lowers its Defense and Special Defense by one stage.","The user willingly breaks off a large piece of its own armor or other protective coat, granting it extra mobility and thus greatly increasing its attack, special attack, and speed. Of course, doing so also leaves it more poorly defended, and its defense and special defense are both lowered in turn.",Self,Stat modifier (all)
505,heal-pulse,Heal Pulse,11,3,,-1,,Restores 50% of the target's health.,"The user provides life energy to its target in a concentrated burst, healing them by up to 50%.",Single,Healing (direct)
506,hex,Hex,14,2,6,3,100,Base power and energy cost are doubled if the target has a status ailment.,"The user casts a foul hex on the target. If they have already been made susceptible to misfortune by acquiring a status ailment, the base power of this attack is doubled.",Single,Projectile
507,sky-drop,Sky Drop,10,1,6,3,100,"Carries the target into the air, avoiding most moves, then drops it.  Costs 3% extra energy to do both in one action.","The user gathers its opponent up and hauls them high into the air before dropping them back to earth and landing itself. While the pokémon being carried is in the air, it will be out of range of most attacks fired at it, but also won't be able to successfully attack anything but the pokémon carrying it, and the same applies to the user. As with fly, this attack takes only one action to perform, although the pokémon may be commanded to stay in the air longer or drop its opponent after more than one action has passed.",Single,Contact
508,shift-gear,Shift Gear,17,3,,2,,Raises the user's Speed by two stages.,"The user takes a moment to alter the configuration of the gears that power its body, putting them into a more optimal configuration that increases its attack and greatly increases its speed.",Self,"Stat modifier (attack, speed)"
509,circle-throw,Circle Throw,7,1,6,3,90,"Throws the target fairly far away, potentially preventing it from reaching the user for a bit.","The user grabs its target and lifts them up, spinning them in a circle like a discus thrower before finally releasing them to sail away and crash back to earth. Even fairly heavy pokémon will fly far when hurled by this technique.",Single,Contact/Priority (-6)
510,incinerate,Incinerate,2,2,6,3,100,Destroys the target's berry.,"The user roasts the foe with a relatively weak, slow-burning fire that utterly destroys any berry it may be holding.",Single,Projectile/Special
511,quash,Quash,16,3,,3,100,Makes the target act last this action.,"The user looms over its opponent, using dark energy to make itself all the more intimidating and making clear in no uncertain terms just what will happen to it if it even /thinks/ of trying to attack. The target, thoroughly cowed, will be too nervous to do anything but attack last in this action, regardless of normal speed or attack priority.",Single,Special
512,acrobatics,Acrobatics,10,1,5,7,100,Does 11% base damage if the user is not holding an item.,"The user leaps at its opponent, spinning around the target in a complicated series of leaps and aerial maneuvers to deliver a flurry of blows to its opponent. If it's not weighted down by a held item, a pokémon can perform much more complex and devastating techniques with this attack, effectively doubling its power.",Single,Contact
513,reflect-type,Reflect Type,1,3,,3,,Replaces the user's types with the target's.,"The user concentrates on its target's energy signature, letting it slowly leak over into its own. In a matter of second, this replaces all the user's types with all the target's types.",Single,Special
514,retaliate,Retaliate,1,1,7,4,100,Does 14% base damage if an ally fainted this action or last action.,"The user fights back against the opponent with all its might. If an ally fainted earlier in this action or in the last action, the pokémon will be inspired to get payback and fight all the harder, effectively doubling this move's base power.",Single,Contact
515,final-gambit,Final Gambit,7,2,-1,-1,100,Inflicts damage equal to the user's remaining health.  Knocks the user out.,"The user throws its all into one final blow, sacrificing itself to deal as much damage to its opponent as it can. It throws itself at its target and keeps fighting for as long as its strength holds out, ultimately dealing damage equal to its remaining HP to its target before fainting. This attack is affected by damage caps.",Single,Contact
516,bestow,Bestow,1,3,,3,,Passes the user's held item to the target if it does not already have one.,"The user pushes its held item onto another pokémon, insisting that they accept it even if they don't particularly want it. Unless it's already holding an item, though, even the most uncouth pokémon will be too polite to refuse the gift in the end.",Single,Special
517,inferno,Inferno,2,2,10,6,50,Has a 100% chance to burn the target.,"The user envelops the target in an all-consuming flame that is sure to leave it severely burned. It takes time to get the fire properly stoked, however, making it relatively easy for the target to escape this attack without taking damage.",Single,Projectile/Status (burn)
518,water-pledge,Water Pledge,3,2,8,4,100,Changes the terrain when used alongside Fire Pledge or Grass Pledge.,"The user calls on its power over water energy and invokes an ancient spell. Used alone, this simply conjures a column of water to strike one target. If grass pledge was used earlier this action, however, it instead transforms the terrain around the opponents into a sucking marsh, damaging Multiple and reducing their speed by three levels for the next four rounds. If fire pledge was used earlier this action, the attack expands to a wall of scalding steam, which eddies in patterns of arcane power, casting a spell of ill fortune over Multiple. As a result, for the next four rounds attacks made against the pokémon struck by the combined pledge are treated as though their user had the serene grace ability.",Single,Projectile/Special
519,fire-pledge,Fire Pledge,2,2,8,4,100,Changes the terrain when used alongside Water Pledge or Grass Pledge.,"The user calls on its power over fire energy and invokes an ancient spell. Used alone, this simply conjures a column of fire to strike one target. If grass pledge was used earlier this action, however, this attack uses its residual energy as fuel and expands into a great swath of flame that envelops Multiple, damaging them and burning them without fail. If water pledge was used earlier this action, the attack expands to a wall of scalding steam, which eddies in patterns of arcane power, casting a spell of ill fortune over Multiple. As a result, for the next four rounds attacks made against the pokémon struck by the combined pledge are treated as though their user had the serene grace ability.",Single,Projectile/Special
520,grass-pledge,Grass Pledge,4,2,8,4,100,Changes the terrain when used alongside Fire Pledge or Water Pledge.,"The user calls on its power over plant energy and invokes an ancient spell. Used alone, this simply conjures a column of greenery to strike one target. If fire pledge was used earlier this action, however, this attack uses its residual energy as fuel and expands into a great swath of flame that envelops Multiple, damaging them and burning them without fail. If water pledge was used earlier this action, it transforms the terrain around the opponents into a sucking marsh, damaging Multiple and reducing their speed by three levels for the next four rounds.",Single,Projectile/Special
521,volt-switch,Volt Switch,5,2,7,4,100,Makes the user switch out.,"The user shoots a ball of lightning energy at the target with all the force it can muster, using the attack's recoil to propel itself backwards into its pok꣡ll. The user switches out after dealing damage with this attack, and the maneuver is so unexpected that it allows even for the escape from trapping moves such as mean look.",Single,Projectile/Special
522,struggle-bug,Struggle Bug,12,2,5,4,100,Has a 100% chance to lower the target's Special Attack by one stage.,"The user flails and writhes around in a rather disturbing manner, casting bursts of bug energy in all directions. Although this attack does little damage, it's extremely off-putting and sure to break a foe's concentration, causing the special attack of all those struck by it to fall.",Multiple,Projectile/Stat modifier (special attack)
523,bulldoze,Bulldoze,9,1,6,4,100,Lowers each target's Speed by one stage.,"The user gives a mighty stomp, unleashing a wave of ground energy into the soil beneath. A wave of seismic energy flows out in all directions, pushing a low ridge of disrupted earth before it, slamming into all pokémon in the area and knocking their legs out from under them. Affected pokémon will be left limping, effectively lowering their speed.",All,Projectile/Stat modifier (speed)
524,frost-breath,Frost Breath,6,2,6,3,90,Always scores a critical hit.,"The user breathes out a cone of piercing cold so fierce that it cuts through all defenses without fail, always scoring a critical hit.",Single,Projectile/Critical
525,dragon-tail,Dragon Tail,15,1,6,3,90,"Knocks the target fairly far away, potentially preventing it from reaching the user for a bit.",The user attacks with a low and slow but powerful sweep of its tail that picks up the target and hurls it far across the arena.,Single,Contact/Priority (-6)
526,work-up,Work Up,1,3,,2,,Raises the user's Attack and Special Attack by one stage.,"The user gets itself pumped up for battle, performing quick warm-up exercises and reciting positive internal dialogue to give itself the confidence to perform better in battle. As a result, its attack and special attack both rise.",Self,"Stat modifier (attack, special attack)"
527,electroweb,Electroweb,5,2,5,4,95,Has a 100% chance to lower the target's Speed by one stage.,"The user drapes a net of electrified silk over a wide area, hopelessly entangling any pokémon unlucky enough to be caught within and lowering their speed.",Multiple,Projectile/Stat modifier (speed)
528,wild-charge,Wild Charge,5,1,9,5,100,Deals recoil damage to the user equal to 1/4 the damage dealt.,"The user charges recklessly at its opponent, sparking as it goes, and slams into them with extreme force. This attack is made without care for the user's safety, and it receives 1/4 of the damage inflicted as recoil.",Single,Contact
529,drill-run,Drill Run,9,1,8,4,95,Has a critical hit rate one stage higher than normal.,"The user runs at its target then leaps into the air, spinning at high speed as it rams into its opponent with a horn, beak, or extended claws. The penetrating nature of this attack makes it more prone to bypass the target's defenses than most, increasing the chance that it will score a critical hit.",Single,Contact/Critical
530,dual-chop,Dual Chop,15,1,8,4,90,Deals damage.  No other effect.,"The user lashes out with both hands, slashing twice with its claws in one action.",Single,Contact
531,heart-stamp,Heart Stamp,11,1,6,4,100,Has a 30% chance to make the target flinch.,"The user puts on a cute act in order to lull the foe into a sense of complacency, then strikes them while they're vulnerable with a psychic-energy-assisted blow. The target may be so stunned by the user's sudden change in attitude that it is forced to stop and collect its thoughts, resulting in a 30% chance that the target may flinch.",Single,Contact/Flinch
532,horn-leech,Horn Leech,4,1,7,4,100,Drains half the damage dealt to heal the user.,"The user suffuses its horns with life energy and stabs them into the opponent, leeching off its health until it is dislodged. The user regains health equal to half the damage dealt by this attack.",Single,Contact/Healing (indirect)
533,sacred-sword,Sacred Sword,7,1,9,5,100,Ignores the target's stat stages.,"The user suffuses one of its horns or some other appendage with fighting energy, temporarily giving it the appearance of a glowing sword, and slices at its opponent. This attack can cut through any defense and as a result ignores all the target's stat modifications.",Single,Contact/Special
534,razor-shell,Razor Shell,3,1,7,5,95,Has a 50% chance to lower the target's Defense.,"The user slices the target with the edge of a sharpened seashell. There is a 50% chance that the user will permanently damage the target's armor, lowering its defense.",Single,Contact/Stat modifier (defense)
535,heat-crash,Heat Crash,2,1,-1,-1,100,Base damage and energy cost vary based on the user and target's weights.,"The user envelops itself in flames and tackles the target to the ground. The heavier it is, the more the target suffers from the crushing, according to the following rules: Up to 2× the target's weight: 40 power; Up to 3× the target's weight: 60 power; Up to 4× the target's weight: 80 power; Up to 5× the target's weight: 100 power; More than 5× the target's weight: 120 power.",Single,Contact
536,leaf-tornado,Leaf Tornado,4,2,6,4,90,Has a 50% chance to lower thet target's Accuracy by one stage.,The user surrounds its target in a whirlwind of blowing leaves and grass energy. There is a 50% chance that the target will be so dazzled by the brilliance of the energy-infused tornado that its accuracy will be reduced.,Single,Projectile/Stat modifier (accuracy)
537,steamroller,Steamroller,12,1,6,4,100,Has a 30% chance to make the target flinch.,"The user curls up into a ball and rolls right over its opponent, crushing it into the ground. There is a 30% chance that the target may be stunned and slow to pick itself up off the ground, resulting in a flinch. This attack's power is doubled against minimized foes.",Single,Contact/Flinch
538,cotton-guard,Cotton Guard,4,3,,3,,Raises the user's Defense by three stages.,"The user cloaks itself in a dense layer of fluffy cotton, raising its defense by a full three levels.",Self,Stat modifier (defense)
539,night-daze,Night Daze,16,2,8,5,95,Has a 40% chance to lower the target's Accuracy by one stage.,"The user fires a night-black beam of pure darkness at the target, enveloping them for a moment in pitch-black night. There is a 40% chance that the target will be left dazzled and blinking when returned to normal light, in which case its accuracy will be lowered.",Single,Projectile/Stat modifier (accuracy)
540,psystrike,Psystrike,11,2,10,5,100,Inflicts damage based on Speical Attack and physical Defense.,"The user calls on its telekinetic powers to pick its opponent up and slam them back to earth. Although the force that can be achieved with this attack depends on the user's psychic aptitude, it has very physical results. Damage is thus calculated based on the user's special attack and the target's physical defense.",Single,Projectile/Special
541,tail-slap,Tail Slap,1,1,-1,-1,85,Hits 2-5 times in one action.  Base damage is 2.5 times the number of hits.,The user slaps the opponent around with a series of blows from its tail.,Single,Random damage
542,hurricane,Hurricane,10,2,11,8,70,Has a 30% chance to confuse the target.,"The user blows up an immense cyclone of wind that lifts the target off the ground and spins it around wildly before finally letting it drop. There is a 30% chance that the target will be disoriented up to the point of confusion after being released from this attack. Additionally, this attack is wider and thus easier to aim when powered by storm winds and, conversely, more difficult to aim on clear, still days. Thus, this attack's accuracy is increased to 100% in rain and reduced to 50% in strong sunlight. Finally, the hurricane summoned is so tall that it can easily hit airborne pokémon.",Single,Special/Status (confusion)
543,head-charge,Head Charge,1,1,12,7,100,Deals recoil damage to the user equal to 1/4 the damage dealt.,"The user charges headfirst into the user, trusting to its fluffy guard-hair to soak up most of the impact. Not even the most intense hairdo can totally mitigate the recoil from such a powerful attack, though, and the user still takes 1/4 the damage it dealt as a result.",Single,Contact
544,gear-grind,Gear Grind,17,1,10,5,85,Deals damage.  No other effect.,"The user catches the target between the teeth of two of its gears and spins one, then the other, to make two attacks against the opponent in one action.",Single,Contact
545,searing-shot,Searing Shot,2,2,10,6,100,Has a 30% chance to burn the target.,"The user releases a wave of tall, sparkling flames in all directions, engulfing friend and foe alike in deadly fire. There is a 30% chance that this attack will burn an afflicted pokémon.",All,Projectile/Status (burn)
546,techno-blast,Techno Blast,1,2,8,4,100,Changes type depending on the user's held Drive.,"The user fires an intense beam of pure energy at its foe. It reads the energy signature of the plate it's been equipped with to determine what type of energy should be used; if the user is holding a plate, the type of damage inflicted by this attack is changed to match that governed by the plate.",Single,Projectile
547,relic-song,Relic Song,1,2,7,4,100,Has a 10% chance to put the target to sleep.,"The user sings a bright, soothing melody passed down through generations of Meloetta. There is a 10% chance that one of this attack's targets will be so soothed by the calming melody that they will drift off to sleep. If the user of this attack is Meloetta, it will change forme upon completing this attack.",Multiple,Projectile/Status (sleep)
548,secret-sword,Secret Sword,7,2,8,4,100,Deals damage based on Special Attack and physical Defense.,"The user conjures a holy sword made of pure fighting energy and uses it to stab the foe. Although created by the power of the user's mind, it cuts like a physical weapon, and so damage is based on the user's special attack but the target's physical defense.",Single,Projectile/Special
549,glaciate,Glaciate,6,2,6,3,95,Lowers each target's Speed by two stages.,"The user blows a chill, frost-laden wind at its foes. Ice swiftly accumulates on the limbs of pokémon struck by this attack, reducing their speed.",Multiple,Projectile/Stat modifier (speed)
550,bolt-strike,Bolt Strike,5,1,13,8,85,Has a 20% chance to paralyze the target.,"The user surrounds itself in an overwhelming aura of electricity, then slams into the foe with all its might. There is a 20% chance that residual electricity will leave the target paralyzed.",Single,Contact/Status (paralysis)
551,blue-flare,Blue Flare,2,2,13,8,85,Has a 20% chance to burn the target.,"The user engulfs the target in beautiful blue fire. Although strange-looking, it still has a 20% chance to burn the target.",Single,Projectile/Status (burn)
552,fiery-dance,Fiery Dance,2,2,8,5,100,Has a 50% chance to raise the user's Special Attack by one stage.,"The user sets fire to swirling around itself and then engages in a complex dance designed to bring it more closely in sync with its fiery abilities--while periodically hurling fireballs at its target, of course. There is a 50% chance that this attack will raise the user's special attack.",Single,Special/Stat modifier (special attack)
